CONTROLPUF,FMR22012,PROPOUT,PROPTYPE,OUTCOME
9999000101,850,3,3,524
9999000104,700,-9,-9,518
9999000106,1000,-9,-9,518
9999000109,1500,-9,-9,516
9999000110,1400,3,2,515
9999000112,900,-9,-9,519
9999000113,1500,-9,-9,518
9999000116,1000,3,3,524
9999000117,800,-9,-9,518
9999000119,1400,1,-8,522
9999000120,1500,1,-8,522
9999000121,1400,-9,-9,518
9999000124,900,-9,-9,518
9999000129,850,-9,-9,533
9999000130,1000,3,2,515
9999000131,850,-9,-9,518
9999000134,800,-9,-9,518
9999000135,1400,3,3,547
9999000136,850,-9,-9,518
9999000137,800,3,3,533
9999000142,1100,-9,-9,518
9999000144,700,-9,-9,518
9999000145,1100,-9,-9,518
9999000149,850,-9,-9,518
9999000150,900,-9,-9,518
9999000151,1400,3,2,515
9999000154,700,-9,-9,518
9999000155,1400,3,2,515
9999000157,800,3,2,515
9999000158,750,-9,-9,518
9999000159,1400,-9,-9,518
9999000160,1400,-9,-9,516
9999000162,1400,3,2,515
9999000163,1400,-9,-9,518
9999000164,1400,-9,-9,521
9999000168,1400,-9,-9,518
9999000169,800,-9,-9,518
9999000173,550,3,2,515
9999000175,1050,-9,-9,518
9999000176,1100,1,-8,522
9999000181,1400,-9,-9,518
9999000182,1300,-9,-9,518
9999000185,1300,-9,-9,518
9999000186,1500,3,3,524
9999000187,750,-9,-9,518
9999000188,750,3,2,515
9999000191,1400,1,-8,522
9999000194,1400,3,2,515
9999000196,800,3,2,515
9999000198,1400,-9,-9,518
9999000200,1400,1,-8,522
9999000201,1400,1,-8,522
9999000202,550,1,-8,522
9999000203,1100,-9,-9,518
9999000206,750,1,-8,522
9999000212,700,1,-8,522
9999000215,750,-9,-9,518
9999000216,1500,3,2,515
9999000217,1500,3,2,515
9999000219,800,-9,-9,515
9999000224,1500,3,2,515
9999000225,1300,3,3,524
9999000231,1150,3,2,515
9999000232,750,-9,-9,516
9999000233,650,-9,-9,519
9999000235,1400,-9,-9,518
9999000238,650,3,3,547
9999000241,750,-9,-9,515
9999000242,1500,-9,-9,518
9999000244,1300,-9,-9,518
9999000252,750,-9,-9,519
9999000253,750,-9,-9,518
9999000256,850,-9,-9,516
9999000257,1300,3,3,524
9999000258,1050,3,3,524
9999000261,1200,-9,-9,518
9999000263,850,-9,-9,518
9999000264,1500,3,2,515
9999000265,1400,3,2,515
9999000267,850,3,2,515
9999000269,1400,-9,-9,517
9999000270,1400,-9,-9,518
9999000273,900,3,2,519
9999000276,900,3,1,518
9999000277,800,3,2,515
9999000278,1400,1,-8,522
9999000279,1400,3,2,515
9999000281,700,3,3,547
9999000282,1100,-9,-9,518
9999000286,900,-9,-9,518
9999000287,750,3,3,524
9999000289,750,-9,-9,518
9999000290,800,3,2,515
9999000291,1050,-9,-9,518
9999000295,800,3,3,543
9999000299,800,3,3,543
9999000300,1500,-9,-9,518
9999000301,950,3,2,518
9999000302,700,3,2,515
9999000309,1050,3,2,515
9999000310,650,3,2,515
9999000312,750,3,3,516
9999000313,1400,-9,-9,518
9999000318,750,3,2,515
9999000319,750,3,3,524
9999000321,700,3,3,533
9999000322,750,1,-8,522
9999000323,1300,-9,-9,516
9999000324,1400,3,3,524
9999000327,1400,-9,-9,518
9999000329,800,3,2,515
9999000330,750,1,-8,522
9999000331,800,3,3,533
9999000332,1000,-9,-9,518
9999000333,1400,-9,-9,518
9999000342,750,-9,-9,516
9999000343,950,3,2,515
9999000348,1300,1,-8,522
9999000349,900,-9,-9,518
9999000352,1200,-9,-9,518
9999000354,750,-9,-9,540
9999000356,1100,-9,-9,518
9999000360,1500,3,3,524
9999000365,1150,3,3,540
9999000366,900,3,2,515
9999000367,1400,-9,-9,518
9999000371,950,1,-8,522
9999000379,800,3,3,524
9999000381,1400,3,2,515
9999000385,700,1,-8,522
9999000386,1100,-9,-9,518
9999000387,1400,3,2,518
9999000389,1400,3,3,524
9999000390,1400,-9,-9,533
9999000392,850,-9,-9,546
9999000395,750,-9,-9,518
9999000396,750,1,-8,522
9999000401,1000,-9,-9,518
9999000402,900,3,2,515
9999000403,650,-9,-9,521
9999000405,850,3,3,529
9999000406,800,3,3,543
9999000409,1400,3,3,547
9999000410,1400,-9,-9,517
9999000414,1400,3,2,515
9999000416,1400,1,-8,522
9999000418,1500,3,1,515
9999000419,1000,-9,-9,518
9999000420,850,-9,-9,540
9999000421,650,3,2,515
9999000423,1100,3,2,515
9999000424,1500,2,-8,541
9999000425,800,-9,-9,518
9999000427,650,3,2,515
9999000430,1400,-9,-9,518
9999000432,700,-9,-9,518
9999000433,650,3,2,518
9999000434,1400,-9,-9,518
9999000435,1400,3,3,524
9999000439,650,1,-8,522
9999000440,1400,-9,-9,518
9999000441,1400,3,2,515
9999000446,1500,3,1,515
9999000449,1300,-9,-9,518
9999000450,1400,-9,-9,518
9999000452,1400,1,-8,522
9999000453,850,-9,-9,516
9999000455,900,3,2,515
9999000457,800,3,3,524
9999000458,700,-9,-9,519
9999000461,1050,3,2,515
9999000470,1500,-9,-9,518
9999000478,700,3,1,518
9999000483,1400,1,-8,522
9999000484,1400,3,3,533
9999000486,850,-9,-9,518
9999000488,800,3,2,515
9999000489,1400,-9,-9,518
9999000493,1100,-9,-9,518
9999000496,850,3,2,518
9999000499,1400,3,2,515
9999000501,750,3,1,515
9999000502,950,-9,-9,513
9999000507,1100,-9,-9,518
9999000508,850,1,-8,522
9999000509,700,3,2,515
9999000513,1150,3,2,515
9999000514,1300,3,2,515
9999000515,700,-9,-9,518
9999000518,700,3,1,515
9999000519,1100,-9,-9,518
9999000523,700,-9,-9,513
9999000525,1500,3,2,515
9999000526,850,3,2,521
9999000535,1500,-9,-9,518
9999000540,850,1,-8,522
9999000541,650,-9,-9,518
9999000543,1100,-9,-9,521
9999000544,750,3,3,533
9999000549,650,3,3,533
9999000550,1200,-9,-9,518
9999000558,1400,-9,-9,518
9999000559,650,-9,-9,529
9999000561,1100,3,3,524
9999000562,1400,3,1,515
9999000564,1500,-9,-9,519
9999000565,750,1,-8,522
9999000567,1500,3,2,515
9999000568,600,1,-8,522
9999000570,700,3,1,515
9999000572,1400,3,2,515
9999000577,700,3,3,524
9999000578,800,-9,-9,540
9999000585,1400,3,2,518
9999000588,800,-9,-9,518
9999000589,800,-9,-9,540
9999000590,800,-9,-9,518
9999000591,1400,-9,-9,518
9999000592,650,3,3,540
9999000596,700,3,2,515
9999000597,650,3,3,524
9999000602,1400,1,-8,522
9999000606,1400,3,2,515
9999000607,1400,-9,-9,518
9999000610,1400,1,-8,522
9999000614,1100,-9,-9,518
9999000616,1100,-9,-9,518
9999000619,1500,3,2,515
9999000621,750,-9,-9,547
9999000624,900,3,2,533
9999000626,1050,-9,-9,516
9999000629,650,3,2,515
9999000631,950,3,-9,518
9999000635,1500,-9,-9,518
9999000637,1400,1,-8,522
9999000641,800,3,2,515
9999000647,1500,1,-8,522
9999000649,900,3,3,533
9999000652,750,-9,-9,518
9999000653,1050,-9,-9,518
9999000656,1400,-9,-9,518
9999000658,1100,3,3,524
9999000662,750,3,2,515
9999000664,1050,3,2,515
9999000667,650,3,2,515
9999000668,1400,1,-8,522
9999000669,1400,3,2,515
9999000670,1400,1,-8,522
9999000674,1400,3,3,515
9999000676,1050,-9,-9,518
9999000677,1000,3,2,515
9999000685,1400,-9,-9,518
9999000689,750,-9,-9,518
9999000690,1000,3,2,515
9999000691,800,-9,-9,518
9999000693,1500,-9,-9,518
9999000694,1050,-9,-9,518
9999000695,1050,3,2,518
9999000697,1400,-9,-9,518
9999000698,800,-9,-9,518
9999000699,1200,3,-9,515
9999000700,1150,-9,-9,518
9999000702,1500,1,-8,522
9999000703,1400,1,-8,522
9999000708,1400,1,-8,522
9999000709,550,3,3,524
9999000710,950,-9,-9,518
9999000711,1150,3,2,515
9999000714,1400,-9,-9,518
9999000718,850,3,3,533
9999000723,1000,3,2,518
9999000729,750,-9,-9,518
9999000730,1400,1,-8,522
9999000731,1400,1,-8,522
9999000733,1500,1,-8,522
9999000734,1100,3,3,524
9999000737,1400,-9,-9,518
9999000738,1400,-9,-9,518
9999000744,750,-9,-9,518
9999000747,1400,3,2,515
9999000748,750,1,-8,522
9999000750,1400,3,2,515
9999000752,1400,-9,-9,518
9999000754,1000,3,3,543
9999000755,1000,3,3,524
9999000757,1500,3,2,518
9999000763,1400,3,3,524
9999000766,1100,1,-8,522
9999000767,1000,3,3,524
9999000768,750,-9,-9,533
9999000769,1400,3,2,515
9999000773,1100,3,3,524
9999000774,1400,1,-8,522
9999000777,700,-9,-9,516
9999000778,750,-9,-9,518
9999000779,1500,-9,-9,518
9999000787,800,1,-8,522
9999000788,1400,1,-8,522
9999000789,1400,1,-8,522
9999000790,1400,1,-8,522
9999000791,1400,-9,-9,516
9999000792,1200,1,-8,522
9999000795,1300,-9,-9,518
9999000796,1200,3,3,524
9999000797,650,1,-8,522
9999000801,650,-9,-9,518
9999000802,1400,3,2,515
9999000807,1150,-9,-9,518
9999000809,800,3,2,515
9999000810,1500,-9,-9,518
9999000814,850,-9,-9,516
9999000816,750,-9,-9,516
9999000820,900,3,2,515
9999000826,1400,-9,-9,518
9999000829,800,-9,-9,516
9999000835,900,-9,-9,521
9999000836,1150,3,3,533
9999000837,1400,3,2,515
9999000841,850,-9,-9,521
9999000842,850,3,3,524
9999000843,1300,-9,-9,518
9999000847,1400,-9,-9,518
9999000848,650,3,1,518
9999000850,1050,-9,-9,518
9999000851,750,-9,-9,516
9999000853,700,3,3,524
9999000855,900,-9,-9,518
9999000858,1000,3,3,524
9999000865,850,3,2,515
9999000866,700,3,2,515
9999000867,950,-9,-9,546
9999000870,850,-9,-9,516
9999000871,650,3,3,547
9999000873,950,3,3,524
9999000876,950,-9,-9,518
9999000878,550,3,3,540
9999000879,850,3,2,515
9999000881,1400,3,2,521
9999000885,1300,-9,-9,518
9999000886,1400,3,3,533
9999000888,700,3,3,524
9999000889,1500,3,1,515
9999000891,850,3,2,515
9999000895,650,-9,-9,518
9999000898,700,3,1,515
9999000899,1400,3,2,515
9999000903,1400,3,3,546
9999000907,800,-9,-9,518
9999000909,1400,3,3,524
9999000912,1100,3,3,529
9999000913,1150,3,2,515
9999000915,1000,-9,-9,516
9999000916,1400,-9,-9,518
9999000919,1400,3,2,518
9999000923,900,-9,-9,519
9999000924,1100,3,2,515
9999000925,1400,-9,-9,518
9999000926,950,3,3,547
9999000928,1500,3,2,515
9999000932,900,-9,-9,518
9999000936,800,-9,-9,518
9999000937,1500,-9,-9,518
9999000941,750,-9,-9,518
9999000943,900,3,-9,519
9999000947,750,-9,-9,518
9999000950,650,-9,-9,518
9999000951,750,3,1,515
9999000952,1100,1,-8,522
9999000953,650,1,-8,522
9999000954,600,-9,-9,518
9999000955,650,3,3,533
9999000959,1400,3,2,515
9999000961,1300,-9,-9,518
9999000968,1200,-9,-9,519
9999000970,1500,3,2,515
9999000973,1400,1,-8,522
9999000977,750,1,-8,522
9999000979,950,-9,-9,521
9999000981,950,3,2,518
9999000983,1500,3,2,515
9999000985,750,3,2,515
9999000987,1400,-9,-9,518
9999000990,650,3,3,533
9999000992,1400,1,-8,522
9999000993,700,1,-8,522
9999000995,1500,3,2,518
9999000998,900,-9,-9,518
9999001000,900,3,2,518
9999001002,1100,-9,-9,518
9999001005,1400,3,3,524
9999001006,1050,1,-8,522
9999001008,850,3,2,515
9999001009,950,3,3,543
9999001013,1500,-9,-9,516
9999001014,1150,3,2,515
9999001015,1300,3,2,515
9999001019,1000,-9,-9,518
9999001021,600,3,-9,518
9999001023,850,1,-8,522
9999001027,750,2,-8,541
9999001028,650,1,-8,522
9999001031,700,3,3,533
9999001037,1100,1,-8,522
9999001039,900,3,2,515
9999001040,850,3,3,524
9999001041,800,3,2,515
9999001043,800,3,2,515
9999001044,1100,3,2,515
9999001046,1400,-9,-9,518
9999001049,1300,3,2,515
9999001052,1400,3,2,515
9999001053,800,-9,-9,521
9999001056,1400,-9,-9,518
9999001057,1500,3,2,515
9999001058,650,-9,-9,518
9999001061,700,3,2,515
9999001062,750,-9,-9,518
9999001070,650,3,2,515
9999001076,650,3,3,547
9999001077,1400,-9,-9,518
9999001078,1400,-9,-9,518
9999001084,1050,3,-9,518
9999001087,1300,1,-8,522
9999001088,1500,-9,-9,518
9999001091,1100,-9,-9,518
9999001093,650,-9,-9,518
9999001094,850,-9,-9,518
9999001096,1400,-9,-9,518
9999001097,800,3,2,515
9999001098,700,-9,-9,518
9999001100,650,3,2,515
9999001102,750,-9,-9,518
9999001103,550,3,2,518
9999001105,850,3,3,543
9999001109,1100,-9,-9,518
9999001110,1000,3,2,515
9999001113,750,3,2,515
9999001114,950,-9,-9,518
9999001116,1150,3,3,515
9999001117,950,-9,-9,518
9999001118,800,-9,-9,518
9999001122,1000,1,-8,522
9999001123,850,-9,-9,518
9999001124,1050,-9,-9,533
9999001125,1400,3,2,518
9999001130,800,1,-8,522
9999001131,1050,-9,-9,518
9999001132,700,-9,-9,518
9999001134,950,-9,-9,518
9999001136,1400,3,3,543
9999001137,650,3,2,515
9999001142,950,3,3,524
9999001148,800,-9,-9,518
9999001149,1000,-9,-9,518
9999001155,800,1,-8,522
9999001162,1400,3,2,515
9999001165,1500,-9,-9,518
9999001167,1500,3,3,533
9999001168,850,3,1,515
9999001169,1400,1,-8,522
9999001170,1300,3,3,533
9999001172,750,-9,-9,519
9999001173,650,1,-8,522
9999001174,1400,1,-8,522
9999001175,750,-9,-9,518
9999001177,1300,3,2,515
9999001178,700,3,3,543
9999001179,1500,-9,-9,518
9999001181,700,3,2,515
9999001182,1000,3,3,533
9999001183,950,3,2,515
9999001186,1400,3,2,515
9999001187,1300,3,2,515
9999001190,650,-9,-9,518
9999001191,1500,3,3,524
9999001194,700,3,2,515
9999001195,700,3,3,547
9999001198,650,3,3,524
9999001200,1400,1,-8,522
9999001202,750,-9,-9,518
9999001204,800,-9,-9,518
9999001208,1400,-9,-9,518
9999001210,1100,-9,-9,518
9999001212,1000,3,3,547
9999001217,750,3,2,518
9999001218,850,3,2,515
9999001221,900,-9,-9,518
9999001223,1400,-9,-9,516
9999001225,900,3,3,540
9999001226,950,-9,-9,517
9999001229,1400,-9,-9,518
9999001231,1500,3,3,524
9999001233,1000,3,3,524
9999001236,950,3,2,521
9999001241,900,-9,-9,518
9999001242,1400,-9,-9,518
9999001243,800,3,2,515
9999001245,850,-9,-9,518
9999001256,700,3,2,516
9999001257,1400,3,1,515
9999001262,1400,3,3,524
9999001263,900,-9,-9,518
9999001264,1500,3,3,524
9999001266,650,1,-8,522
9999001268,1400,-9,-9,518
9999001269,1400,1,-8,522
9999001271,1300,3,2,515
9999001272,1400,3,3,524
9999001274,600,3,2,515
9999001275,1400,-9,-9,518
9999001277,700,-9,-9,518
9999001280,1500,3,3,524
9999001288,900,1,-8,522
9999001289,950,-9,-9,516
9999001290,950,3,3,524
9999001291,1500,1,-8,522
9999001292,950,-9,-9,518
9999001297,1200,1,-8,522
9999001300,700,3,2,515
9999001305,1400,3,3,524
9999001306,1400,1,-8,522
9999001308,850,-9,-9,518
9999001309,700,3,2,515
9999001311,1400,-9,-9,519
9999001312,850,3,2,515
9999001313,950,3,2,515
9999001316,1200,-9,-9,513
9999001320,900,-9,-9,518
9999001321,800,3,3,533
9999001327,1050,3,3,524
9999001328,1050,-9,-9,533
9999001330,1300,3,1,524
9999001332,1400,-9,-9,518
9999001334,1500,1,-8,522
9999001337,900,3,2,518
9999001338,1400,3,2,515
9999001339,1400,3,2,515
9999001342,1400,1,-8,522
9999001343,1200,-9,-9,518
9999001344,1400,-9,-9,518
9999001347,950,3,3,524
9999001351,950,1,-8,522
9999001352,1400,3,2,515
9999001354,850,3,2,518
9999001356,950,-9,-9,518
9999001357,950,3,2,515
9999001360,1300,3,3,533
9999001364,950,-9,-9,518
9999001366,1150,3,3,533
9999001367,800,3,2,515
9999001368,850,-9,-9,518
9999001375,950,3,2,515
9999001380,900,1,-8,522
9999001384,950,3,3,540
9999001388,1400,-9,-9,547
9999001390,1400,-9,-9,518
9999001392,1400,-9,-9,518
9999001394,750,3,-9,515
9999001395,950,-9,-9,518
9999001399,1150,-9,-9,518
9999001400,800,3,2,518
9999001401,800,-9,-9,518
9999001402,1400,3,3,547
9999001404,950,3,3,524
9999001405,1100,-9,-9,518
9999001409,750,1,-8,522
9999001415,1400,-9,-9,513
9999001416,1400,3,2,515
9999001417,850,1,-8,522
9999001418,750,-9,-9,516
9999001420,800,-9,-9,518
9999001424,1300,3,2,515
9999001425,1400,3,3,524
9999001427,600,-9,-9,516
9999001431,1500,-9,-9,518
9999001433,800,-9,-9,518
9999001437,600,3,2,518
9999001442,850,-9,-9,518
9999001443,1400,-9,-9,518
9999001450,1000,3,3,543
9999001451,800,3,3,533
9999001452,1400,1,-8,522
9999001453,1500,3,3,524
9999001454,950,-9,-9,518
9999001455,750,3,2,515
9999001456,1400,-9,-9,518
9999001458,1400,-9,-9,518
9999001461,800,3,3,533
9999001463,850,1,-8,522
9999001464,1300,3,2,515
9999001465,700,3,2,515
9999001467,1400,-9,-9,518
9999001468,1200,-9,-9,518
9999001470,800,-9,-9,518
9999001471,1200,3,2,529
9999001472,850,3,2,515
9999001473,650,3,3,524
9999001476,750,3,3,543
9999001482,1400,-9,-9,518
9999001489,650,1,-8,522
9999001490,1400,-9,-9,518
9999001493,1150,-9,-9,518
9999001500,900,-9,-9,518
9999001501,850,3,2,515
9999001503,1400,-9,-9,518
9999001504,750,3,2,518
9999001509,800,1,-8,522
9999001510,1500,3,2,518
9999001511,850,3,2,521
9999001512,1500,3,3,543
9999001518,750,3,2,515
9999001519,800,-9,-9,518
9999001522,1200,-9,-9,516
9999001523,1200,-9,-9,519
9999001524,1000,-9,-9,518
9999001527,1400,-9,-9,529
9999001528,850,3,3,524
9999001529,700,3,3,524
9999001530,950,-9,-9,518
9999001532,1100,1,-8,522
9999001537,650,3,2,515
9999001539,1400,3,2,518
9999001540,1400,3,2,515
9999001542,800,-9,-9,518
9999001546,800,1,-8,522
9999001547,1300,3,3,533
9999001552,1400,3,3,533
9999001553,1400,3,3,524
9999001555,1150,1,-8,522
9999001559,1050,1,-8,522
9999001562,1300,-9,-9,518
9999001568,800,-9,-9,518
9999001569,1400,-9,-9,518
9999001570,1400,-9,-9,518
9999001574,1300,-9,-9,518
9999001575,1400,-9,-9,518
9999001583,850,3,2,515
9999001585,950,3,3,524
9999001587,900,-9,-9,518
9999001591,700,3,3,533
9999001596,850,-9,-9,518
9999001604,1400,3,3,524
9999001605,850,3,2,518
9999001606,1400,3,2,515
9999001612,1400,-9,-9,518
9999001613,1400,-9,-9,518
9999001617,750,-9,-9,518
9999001620,1500,3,3,524
9999001621,1400,3,3,524
9999001622,750,3,2,515
9999001625,800,-9,-9,518
9999001627,1400,-9,-9,518
9999001628,850,3,3,547
9999001631,850,3,2,518
9999001632,750,3,3,524
9999001633,700,1,-8,522
9999001634,1500,3,3,547
9999001635,1400,-9,-9,518
9999001636,1400,-9,-9,518
9999001644,800,-9,-9,518
9999001649,1500,-9,-9,518
9999001651,1400,-9,-9,516
9999001652,850,-9,-9,518
9999001654,900,-9,-9,518
