CONTROLPUF,PROPBSA1,PROPBSA2,PROPBSA3,PROPBSA4,PROPBSA5,PROPBSA6,PROPBSA7,PROPBSA8,PROPADD1,PROPADD2,PROPADD3,PROPADD4,PROPADD5,PROPADD6,PROPADD7,PROPADD8,SAMPSTRATA
9999000102,0,0,1,0,0,0,1,0,0,0,25,0,0,0,30,0,3
9999000103,17,0,0,0,2,0,0,0,34,0,0,0,4,0,0,0,1
9999000105,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,0,3
9999000107,0,0,2,0,0,0,0,0,0,0,70,0,0,0,0,0,3
9999000108,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2
9999000111,0,0,0,1,0,0,0,0,0,0,0,104,0,0,0,0,4
9999000114,1,0,20,0,0,0,0,0,3,0,833,0,0,0,0,0,3
9999000115,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2
9999000118,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2
9999000122,0,0,1,0,0,0,0,0,0,0,30,0,0,0,0,0,3
9999000123,0,0,1,0,0,0,0,0,0,0,47,0,0,0,0,0,3
9999000125,0,2,2,0,0,0,0,0,0,38,70,0,0,0,0,0,3
9999000126,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2
9999000127,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1
9999000128,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2
9999000132,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,3
9999000133,0,0,9,0,0,0,0,0,0,0,245,0,0,0,0,0,3
9999000138,0,1,1,0,0,0,0,0,0,14,34,0,0,0,0,0,3
9999000139,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
9999000140,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,2
9999000141,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1
9999000143,0,0,1,0,0,0,0,0,0,0,41,0,0,0,0,0,3
9999000146,0,0,1,0,0,0,0,0,0,0,33,0,0,0,0,0,3
9999000147,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,3
9999000148,0,0,1,0,0,0,0,0,0,0,34,0,0,0,0,0,3
9999000152,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,2
9999000153,0,0,3,0,0,0,0,0,0,0,84,0,0,0,0,0,3
9999000156,0,0,3,1,0,0,0,0,0,0,104,73,0,0,0,0,3
9999000161,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,3
9999000165,0,0,1,0,0,0,0,0,0,0,29,0,0,0,0,0,3
9999000166,0,0,1,0,0,0,0,0,0,0,37,0,0,0,0,0,3
9999000167,0,1,4,0,0,0,0,0,0,23,176,0,0,0,0,0,3
9999000170,0,0,1,0,0,0,0,0,0,0,34,0,0,0,0,0,3
9999000171,0,0,1,0,0,0,0,0,0,0,43,0,0,0,0,0,3
9999000172,0,0,0,1,0,0,0,0,0,0,0,149,0,0,0,0,4
9999000174,0,29,0,0,0,0,0,0,0,232,0,0,0,0,0,0,2
9999000177,0,0,1,0,0,0,0,0,0,0,41,0,0,0,0,0,3
9999000178,0,8,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2
9999000179,0,0,1,0,0,0,0,0,0,0,48,0,0,0,0,0,3
9999000180,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2
9999000183,0,0,2,0,0,0,0,0,0,0,79,0,0,0,0,0,3
9999000184,0,0,0,1,0,0,0,0,0,0,0,98,0,0,0,0,4
9999000189,0,0,0,1,0,0,0,0,0,0,0,174,0,0,0,0,4
9999000190,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2
9999000192,0,0,0,1,0,0,0,0,0,0,0,99,0,0,0,0,4
9999000193,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
9999000195,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1
9999000197,0,0,0,0,0,0,2,0,0,0,0,0,0,0,71,0,3
9999000199,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2
9999000204,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1
9999000205,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
9999000207,0,0,1,0,0,0,0,0,0,0,32,0,0,0,0,0,3
9999000208,0,0,1,0,0,0,0,0,0,0,42,0,0,0,0,0,3
9999000209,4,9,0,0,0,0,0,0,16,72,0,0,0,0,0,0,2
9999000210,0,0,1,0,0,0,0,0,0,0,42,0,0,0,0,0,3
9999000211,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
9999000213,0,0,1,0,0,0,0,0,0,0,34,0,0,0,0,0,3
9999000214,0,0,1,0,0,0,0,0,0,0,34,0,0,0,0,0,3
9999000218,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
9999000220,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2
9999000221,0,0,1,0,0,0,0,0,0,0,42,0,0,0,0,0,3
9999000222,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
9999000223,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2
9999000226,0,11,4,0,0,0,0,0,0,152,133,0,0,0,0,0,3
9999000227,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,3
9999000228,0,0,3,0,0,0,0,0,0,0,117,0,0,0,0,0,3
9999000229,0,0,1,0,0,0,0,0,0,0,39,0,0,0,0,0,3
9999000230,0,0,1,0,0,0,0,0,0,0,42,0,0,0,0,0,3
9999000234,0,0,0,1,0,0,0,0,0,0,0,120,0,0,0,0,4
