Variable,Value,Value_Label
APPEAL,-9,Not reported
APPEAL,1,Yes
APPEAL,2,No
APPEAL,3,Don't know
APPVALDK,-9,Not reported
APPVALDK,-8,Not applicable
APPVALDK,1,Don't know
ARM,-9,Not reported
ARM,-8,Not applicable
ARM,1,Month
ARM,2,3 months
ARM,3,6 months
ARM,4,Year
ARM,5,3 years
ARM,6,5 years
ARM,7,Other
BENEOTH,-9,Not reported
BENEOTH,9,Yes
COMMSPACE,-9,Not reported
COMMSPACE,1,Yes
COMMSPACE,2,No
CONCSS,-9,Not reported
CONCSS,1,No rent concessions
CONCSS,2,Less than 1 month's rent
CONCSS,3,1 month's rent
CONCSS,4,Between 1 and 2 months' rent
CONCSS,5,2 months' rent
CONCSS,6,Between 2 and 3 months' rent
CONCSS,7,3 or more months' rent
CONTRACT,-9,Not reported
CONTRACT,-8,Not applicable
CONTRACT,1,Yes
CONTRACT,2,No
CPACCESS,0,No upgrade
CPACCESS,1,Upgraded handicapped / universal access
CPBATH,0,No upgrade
CPBATH,1,Upgraded bathroom facilities
CPDOOR,0,No upgrade
CPDOOR,1,Upgraded doors
CPELESYS,0,No upgrade
CPELESYS,1,Upgraded electrical system
CPEXTER,0,No upgrade
CPEXTER,1,Upgraded exterior
CPFLOOR,0,No upgrade
CPFLOOR,1,Upgraded flooring / carpeting
CPHEAT,0,No upgrade
CPHEAT,1,Upgraded heating or air conditioning system
CPKITCH,0,No upgrade
CPKITCH,1,Upgraded kitchen facilities
CPOTHUSC,0,No upgrade
CPOTHUSC,1,Other capital improvements or upgrades - specify
CPPLAYGR,0,No upgrade
CPPLAYGR,1,Upgraded playground or play area
CPPLUMB,0,No upgrade
CPPLUMB,1,Upgraded plumbing system
CPROOF,0,No upgrade
CPROOF,1,Upgraded roof
CPSECSYS,0,No upgrade
CPSECSYS,1,Upgraded security system
CPSWIM,0,No upgrade
CPSWIM,1,Upgraded swimming pool
CPWINDOW,0,No upgrade
CPWINDOW,1,Upgraded windows
CROSSCOLL,-9,Not reported
CROSSCOLL,-8,Not applicable
CROSSCOLL,1,Yes
CROSSCOLL,2,No
CROSSCOLL,3,Don't know
DEBT,1,Yes
DEBT,2,No
DIFFLOAN,-9,Not reported
DIFFLOAN,-8,Not applicable
DIFFLOAN,1,Balloon payment
DIFFLOAN,2,Fully amortized
DKSUBSDZ,-9,Not reported
DKSUBSDZ,1,Yes (Don’t know if subsidized)
ECONDEVLP,-9,Not reported
ECONDEVLP,1,Yes
ECONDEVLP,2,No
ECONDEVLP,3,Don't know
ELDERLY,-9,Not reported
ELDERLY,1,Yes
FIXADJ,-9,Not reported
FIXADJ,-8,Not applicable
FIXADJ,1,"A fixed-rate, level payment"
FIXADJ,2,An adjustable rate mortgage (ARM)
FOVER20BLD,-9,Not reported
FOVER20BLD,-8,Not applicable
FOVER20BLD,1,Yes
GOVBELOW,-9,Not reported
GOVBELOW,1,Yes
GOVGRANT,-9,Not reported
GOVGRANT,1,Yes
GUARANTEE,-9,Not reported
GUARANTEE,-8,Not applicable
GUARANTEE,1,Yes
GUARANTEE,2,No
GUARANTEE,3,Don't know
HISTORIC,-9,Not reported
HISTORIC,1,Yes
HISTORIC,2,No
HISTORIC,3,Don't know
HOWMVAL,-9,Not reported
HOWMVAL,1,Local tax assessment of this property
HOWMVAL,2,Recent real estate appraisal
HOWMVAL,3,Insurance replacement cost
HOWMVAL,4,Original purchase price plus inflation
HOWMVAL,5,Original purchase price plus improvements and inflation
HOWMVAL,6,Selling or asking price of similar properties
HOWMVAL,7,Capitalization of current rental revenues
HOWMVAL,8,Other - Specify
IELEC,-9,Not reported
IELEC,1,Yes
IELEC,2,No
IELEC,3,Not Present
IFITNESS,-9,Not reported
IFITNESS,1,Yes
IFITNESS,2,No
IFITNESS,3,Not Present
IGAS,-9,Not reported
IGAS,1,Yes
IGAS,2,No
IGAS,3,Not Present
ILAUNDRY,-9,Not reported
ILAUNDRY,1,Yes
ILAUNDRY,2,No
ILAUNDRY,3,Not Present
INSURED2,-9,Not reported
INSURED2,-8,Not applicable
INSURED2,1,Federal Housing Administration (FHA)?
INSURED2,2,Department of Veterans Affairs (VA)?
INSURED2,3,Rural Housing Service/Rural Development (formerly FmHA)?
INSURED2,4,None of the above
INSURED3,-9,Not reported
INSURED3,-8,Not applicable
INSURED3,1,Federal Housing Administration (FHA)?
INSURED3,2,Department of Veterans Affairs (VA)?
INSURED3,3,Rural Housing Service/Rural Development (formerly FmHA)?
INSURED3,4,None of the above
INSURED4,-9,Not reported
INSURED4,-8,Not applicable
INSURED4,1,Federal Housing Administration (FHA)?
INSURED4,2,Department of Veterans Affairs (VA)?
INSURED4,3,Rural Housing Service/Rural Development (formerly FmHA)?
INSURED4,4,None of the above
IOTHFREE,-9,Not reported
IOTHFREE,1,Yes
IOTHFREE,2,No
IOTHFREE,3,Not Present
IPARKING,-9,Not reported
IPARKING,1,Yes
IPARKING,2,No
IPARKING,3,Not Present
IPOOL,-9,Not reported
IPOOL,1,Yes
IPOOL,2,No
IPOOL,3,Not Present
ITRASH,-9,Not reported
ITRASH,1,Yes
ITRASH,2,No
ITRASH,3,Not Present
IWATER,-9,Not reported
IWATER,1,Yes
IWATER,2,No
IWATER,3,Not Present
JCONTROL,-9,Not edited
JCONTROL,1,Edited
JEBT,-9,Not edited
JEBT,1,Edited
JEBTNUM,-9,Not edited
JEBTNUM,1,Edited
JECT8,-9,Not edited
JECT8,1,Edited
JECT8NUM,-9,Not edited
JECT8NUM,1,Edited
JEGPAY,-9,Not edited
JEGPAY,1,Edited
JERCCOMM,-9,Not edited
JERCCOMM,1,Edited
JIED2INX,-9,Not edited
JIED2INX,1,Edited
JIXADJ,-9,Not edited
JIXADJ,1,Edited
JOMMSPACE,-9,Not edited
JOMMSPACE,1,Edited
JONCSS,-9,Not edited
JONCSS,1,Edited
JORTAMT,-9,Not edited
JORTAMT,1,Edited
JORTGAGE,-9,Not edited
JORTGAGE,1,Edited
JOUCHER,-9,Not edited
JOUCHER,1,Edited
JOUCHNUM,-9,Not edited
JOUCHNUM,1,Edited
JPACCESS,-9,Not edited
JPACCESS,1,Edited
JPBATH,-9,Not edited
JPBATH,1,Edited
JPDOOR,-9,Not edited
JPDOOR,1,Edited
JPELESYS,-9,Not edited
JPELESYS,1,Edited
JPEXTER,-9,Not edited
JPEXTER,1,Edited
JPFLOOR,-9,Not edited
JPFLOOR,1,Edited
JPHEAT,-9,Not edited
JPHEAT,1,Edited
JPHEATAMT,-9,Not edited
JPHEATAMT,1,Edited
JPIOTH,-9,Not edited
JPIOTH,1,Edited
JPIOTH2,-9,Not edited
JPIOTH2,1,Edited
JPIOTH3,-9,Not edited
JPIOTH3,1,Edited
JPIOTH4,-9,Not edited
JPIOTH4,1,Edited
JPKITCH,-9,Not edited
JPKITCH,1,Edited
JPOTHUSC,-9,Not edited
JPOTHUSC,1,Edited
JPPLAYGR,-9,Not edited
JPPLAYGR,1,Edited
JPPLUMB,-9,Not edited
JPPLUMB,1,Edited
JPPVAL,-9,Not edited
JPPVAL,1,Edited
JPROOF,-9,Not edited
JPROOF,1,Edited
JPSECSYS,-9,Not edited
JPSECSYS,1,Edited
JPSWIM,-9,Not edited
JPSWIM,1,Edited
JPWINDOW,-9,Not edited
JPWINDOW,1,Edited
JRMORT,-9,Not edited
JRMORT,1,Edited
JRNEWBLG,-9,Not edited
JRNEWBLG,1,Edited
JROLDBLG,-9,Not edited
JROLDBLG,1,Edited
JROPOUT,-9,Not edited
JROPOUT,1,Edited
JROPTYPE,-9,Not edited
JROPTYPE,1,Edited
JRPROPACQ,-9,Not edited
JRPROPACQ,1,Edited
JRSMNGMNT,-9,Not edited
JRSMNGMNT,1,Edited
JTHEXP,-9,Not edited
JTHEXP,1,Edited
JTHTRSRY,-9,Not edited
JTHTRSRY,1,Edited
LINECRDT,-9,Not reported
LINECRDT,-8,Not applicable
LINECRDT,1,Yes
LINECRDT,2,No
LOWINAREA,-9,Not reported
LOWINAREA,1,Yes
LOWINAREA,2,No
LOWINAREA,3,Don't know
LOWINCTC,-9,Not reported
LOWINCTC,1,Yes
LOWINCTEN,-9,Not reported
LOWINCTEN,1,Yes
LOWINCTEN,2,No
LOWINCTEN,3,Don't know
MNGMNT,-9,Not reported
MNGMNT,1,Property owner or unpaid agent of owner (such as a family member)
MNGMNT,2,Management agent directly employed by owner
MNGMNT,3,Management company
MNGMNT,4,Other
MOREPROPS,-9,Not reported
MOREPROPS,-8,Not applicable
MOREPROPS,1,Yes
MOREPROPS,2,No
MOREPROPS,3,Don't know
MORTGAGE,-9,Not reported
MORTGAGE,-8,Not applicable
MORTGAGE,1,Yes
MORTGAGE,2,No
MORTGET,-9,Not reported
MORTGET,-8,Not applicable
MORTGET,1,Commercial bank or trust company
MORTGET,2,"Savings and loan association, federal savings bank, mutual savings bank"
MORTGET,3,Life insurance company
MORTGET,4,Mortgage bank or mortgage company
MORTGET,5,Real Estate Investment Trust (REIT)
MORTGET,6,Pension fund or retirement fund
MORTGET,7,Credit union
MORTGET,8,"Finance company (including consumer discount company, industrial bank, cooperative bank)"
MORTGET,9,State or municipal government
MORTGET,10,State or local housing finance agency
MORTGET,11,Individual or individual's estate
MORTGET,12,Other-specify
MORTGET,13,Don't know
MORTKIND,-9,Not reported
MORTKIND,-8,Not applicable
MORTKIND,1,A new mortgage that was placed when this property was acquired?
MORTKIND,2,A refinancing of a previous loan?
MORTKIND,3,A mortgage placed on a property previously owned free and clear of debt?
MORTKIND,4,A construction loan converted to permanent financing?
MORTKIND,5,The same mortgage that was assumed from the previous owner when this property was acquired?
MORTPAY,-9,Not reported
MORTPAY,-8,Not applicable
MORTPAY,1,Commercial bank or trust company
MORTPAY,2,"Savings and loan association, federal savings bank, mutual savings bank"
MORTPAY,3,Mortgage bank or mortgage company
MORTPAY,4,Life insurance company
MORTPAY,5,Private mortgage pool
MORTPAY,6,Loan servicing company
MORTPAY,7,Credit union
MORTPAY,8,"Finance company (including consumer discount company, industrial bank, cooperative bank)"
MORTPAY,9,State or municipal government
MORTPAY,10,State or local housing finance agency
MORTPAY,11,Individual or individual's estate
MORTPAY,12,Other - Specify
MORTPAY,13,Don't know
MRKTINX,-9,Not reported
MRKTINX,-8,Not applicable
MRKTINX,1,Treasury rate
MRKTINX,2,LIBOR
MRKTINX,3,Prime rate
MRKTINX,4,11th District cost-of-fund index
MRKTINX,5,National average cost of funds
MRKTINX,6,OTS contract mortgage rates
MRKTINX,7,Adjustment not based on index
MRKTINX,8,Other-specify
NOTSUBSDZ,-9,Not reported
NOTSUBSDZ,-8,Not applicable
NOTSUBSDZ,1,Yes (not subsidized)
NUMBLD_R,-9,Not reported
NUMBLD_R,1,1 building
NUMBLD_R,2,2 buildings
NUMBLD_R,3,3 buildings
NUMBLD_R,4,4 buildings
NUMBLD_R,5,5 buildings
NUMBLD_R,6,6 buildings
NUMBLD_R,7,7 buildings
NUMBLD_R,8,8 buildings
NUMBLD_R,9,9 buildings
NUMBLD_R,10,10 buildings
NUMBLD_R,11,11 buildings
NUMBLD_R,12,12 buildings
NUMBLD_R,13,13 buildings
NUMBLD_R,14,14 buildings
NUMBLD_R,15,15 buildings
NUMBLD_R,16,16 buildings
NUMBLD_R,17,17 buildings
NUMBLD_R,18,18 buildings
NUMBLD_R,19,19 buildings
